1 0.00
501 0.00
1001 0.00
1501 0.00
2001 0.01
2501 0.00
3001 0.02
3501 0.03
4001 0.04
4501 0.05
5001 0.06
5501 0.08
6000 0.06
16000 0.36
26000 0.94
36000 1.76
46000 2.88
56000 4.22
66000 5.88
76000 7.72
86000 9.93
96000 12.28
106000 15.00
116000 17.93
126000 21.28
136000 24.84
146000 28.65
156000 32.57
166000 36.74
176000 41.47
186000 46.42
196000 51.42
206000 56.55
216000 62.33
226000 68.06
236000 74.27
246000 80.86
250000 83.43
