1 0.00
501 0.00
1001 0.00
1501 0.00
2001 0.00
2501 0.00
3001 0.00
3501 0.00
4001 0.00
4501 0.00
5001 0.00
5501 0.00
6000 0.00
16000 0.00
26000 0.01
36000 0.01
46000 0.02
56000 0.03
66000 0.03
76000 0.06
86000 0.06
96000 0.05
106000 0.05
116000 0.05
126000 0.06
136000 0.07
146000 0.07
156000 0.08
166000 0.10
176000 0.09
186000 0.13
196000 0.10
206000 0.10
216000 0.12
226000 0.12
236000 0.14
246000 0.13
250000 0.13
350000 0.22
450000 0.22
550000 0.28
650000 0.36
750000 0.40
850000 0.42
950000 0.48
1050000 0.52
1150000 0.60
1250000 0.66
1350000 0.66
1450000 0.75
1550000 0.80
1650000 0.85
1750000 0.90
1850000 0.96
1950000 0.98
2050000 1.05
2150000 1.14
2250000 1.19
2350000 1.19
2450000 1.26
2550000 1.29
2650000 1.36
2750000 1.40
2850000 1.45
2950000 1.49
3050000 1.54
3150000 1.63
3250000 1.62
3350000 1.69
3450000 1.74
3550000 1.77
3650000 1.85
3750000 1.97
3850000 2.00
3950000 2.06
4050000 2.09
4150000 2.14
4250000 2.15
4350000 2.18
4450000 2.30
4550000 2.33
4650000 2.40
4750000 2.46
4850000 2.55
4950000 2.56
5050000 2.61
5150000 2.69
5250000 2.70
5350000 2.70
5450000 2.77
5550000 2.82
5650000 2.91
5750000 2.96
5850000 3.01
5950000 3.10
6050000 3.06
6150000 3.11
6250000 3.17
6350000 3.21
6450000 3.28
6550000 3.36
6650000 3.44
6750000 3.34
6850000 3.50
6950000 3.57
7050000 3.60
7150000 3.64
7250000 3.69
7350000 3.76
7450000 3.84
7550000 3.81
7650000 3.92
7750000 3.98
7850000 4.00
7950000 4.05
8050000 4.20
8150000 4.18
8250000 4.17
8350000 4.26
8450000 4.31
8550000 4.34
8650000 4.42
8750000 4.52
8850000 4.46
8950000 4.60
9050000 4.61
9150000 4.68
9250000 4.77
9350000 4.92
9450000 4.82
9550000 4.95
9650000 4.89
9750000 5.07
9850000 5.02
9950000 5.18
10050000 5.21
10150000 5.23
10250000 5.27
10350000 5.31
10450000 5.33
10550000 5.44
10650000 5.46
10750000 5.54
10850000 5.44
10950000 5.52
11050000 5.54
11150000 5.62
11250000 5.63
11350000 5.80
11450000 5.73
11550000 5.79
11650000 6.00
11750000 5.94
11850000 6.05
11950000 6.12
12050000 6.10
12150000 6.18
12250000 6.24
12350000 6.26
12450000 6.30
12550000 6.48
